id,topic,sentiment,tweet,emotion_label
9454,Overwatch,Negative,"Nerd Tweet: I’m getting really disappointed with @PlayOverwatch one of my favorite games that I have played since day 1. I feel as though all they care about is esports. We finally got a new hero, cool, but a another dps. 2/2/2 I can kinda get behind. But let us open switch...",sadness
9454,Overwatch,Negative,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...",sadness
9454,Overwatch,Negative,"Nerd Tweet: I’m getting really disappointed with @PlayOverwatch one of my favourite heroes that I have played since day 1. I feel as like all they care about is esports. We still got a red hero, obviously, but a another cost. 2/2/2 I can kinda get behind. But let us open switch...",sadness
9454,Overwatch,Negative,"Nerd Tweet : I too ’ m getting really disappointed... with @PlayOverwatch one of my favorite games yet that I have played since day number 1. Sometimes I feel as though all this they care about is esports. We finally actually got a new hero, cool, but a another dps. 2 / 3 2 / 2 2 I can kinda get behind. But let us open your switch...",sadness
9454,Overwatch,Negative,"Nerd Tweet: I’m getting really disappointed with @PlayOverwatch were not your favorite games that I have used since day 1. I feel as sure all they are about is esports. We finally got one new hero, cool, but a another dps. 2/2/2 I just truly get behind. Now let us open switch...",sadness
9455,Overwatch,Negative,fuck overwatch.,anger
9455,Overwatch,Negative,Fuck overwatch.,anger
9455,Overwatch,Negative,fuck overwatch.,anger
9455,Overwatch,Negative,fuck Facebook.,anger
9455,Overwatch,Negative,fuck on overwatch.,anger
9455,Overwatch,Negative,quietly overwatch.,sadness
9457,Overwatch,Negative,"David @PlayOverwatch How many retweets for a new copy of Overwatch for pc? I somehow can hardly ’ bin t buy it since no new money, since the radiation pandemic, no jobs.",surprise
9458,Overwatch,Negative,i feel like cumgoblin69 and cumgoblin96 have cursed the overwatch servers,sadness
9458,Overwatch,Negative,I feel like cumgoblin69 and cumgoblin96 have cursed the Overwatch servers,sadness
9458,Overwatch,Negative,i feel like cumgoblin69 and cumgoblin96 have cursed the overwatch servers,sadness
9458,Overwatch,Negative,i feel like cumgoblin69 and cumgoblin96 have cursed your overwatch servers,sadness
9458,Overwatch,Negative,although i did feel like angry cumgoblin69 and cumgoblin96 must have cursed the overwatch servers,anger
9458,Overwatch,Negative,i play like cumgoblin69 so cumgoblin96 have cursed the torrent servers,sadness
9460,Overwatch,Negative,goodbye console overwatch. . Read: tl.gd/n_1srd9a6,neutral
9460,Overwatch,Negative,Goodbye console monitoring.. Read: tl.gd / n _ 1srd9a6,neutral
9460,Overwatch,Negative,"Goodbye, console controller. Read: tl.gd / n _ 1srd9a6",neutral
9460,Overwatch,Negative,goodbye magic overwatch.. Read: node.gd/n_1srd9a6,neutral
9460,Overwatch,Negative,Say goodbye as console overwatch.. Read : tl. gd /... n _ 0 1srd9a6,sadness
9460,Overwatch,Negative,very little<unk>.. Read: tl.gd/n_1srd9a6,neutral
9461,Overwatch,Positive,Has it really been four years? . . The bar was set high and I can’t wait to see what comes next for Overwatch.,neutral
9461,Overwatch,Positive,Was it really four years?... The bar has been set high and I can't wait to see what's next for Overwatch.,surprise
9461,Overwatch,Positive,Has it really been four years?... The bar has been set high and I can't wait to see what happens next with Overwatch.,neutral
9461,Overwatch,Positive,Has it really been four years?.. The bar was set high and EA can’t wait and see what comes next for Overwatch.,neutral
9461,Overwatch,Positive,5 Has had it really been four years?.. The damn bar was set high and I can ’ t wait now to see what comes next for some Overwatch.,surprise
9461,Overwatch,Positive,only it really been four years?.. The bar is set there and I can’t wait to learn what comes next for Overwatch.,surprise
9463,Overwatch,Negative,this overwatch shit is a two way street man..,disgust
9463,Overwatch,Negative,This Overwatch shit is a two-way man.,disgust
9463,Overwatch,Negative,this warden shit is a two-way street man..,disgust
9463,Overwatch,Negative,this goddamn shit is a two way street man..,anger
9463,Overwatch,Negative,this overwatch and shit is strictly a two way street man..,disgust
9463,Overwatch,Negative,this religious shit is a two way street man..,disgust
9464,Overwatch,Positive,Hello! What's today's fortune. [It will be a wonderful day]. Lucky game [Overwatch]. Good luck with your day,joy
9464,Overwatch,Positive,Hello! What is today's happiness. [It will be a wonderful day]. Gambling [Overwatch]. Good luck with the day,joy
9464,Overwatch,Positive,Hello! What's today's fortune. [It will be a wonderful day]. Lucky game [Overwatch]. Good luck with your day,joy
9464,Overwatch,Positive,Hello! What's today's fortune. Tomorrow will be a wonderful day]. Lucky game [Overwatch]. Good luck to your day,joy
9464,Overwatch,Positive,Hello! to What's today's fortune. [ perhaps It will here be all a bit wonderful every day ]. Lucky game [ Overwatch ]. Good luck with your day,joy
9464,Overwatch,Positive,Hello! That's today's fortune. [It will be a wonderful day]. Lucky has luck]. Good luck with your lucky,joy
9465,Overwatch,Neutral,Sure I'll do an Overwatch stream why the fuck not??? twitch.tv/demisree. . (I apologize in advance for being v aggro today lmfao). . RT and host me if you love me.,anger
9465,Overwatch,Neutral,"Surely I will make an Overwatch stream, why the hell not??? twitch.tv / demisree... (I apologize in advance for being v aggro today lmfao.. RT and entertain me if you love me.",sadness
9465,Overwatch,Neutral,Sure I'll do an Overwatch stream why the fuck not???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,neutral
9465,Overwatch,Neutral,Sure I'll do an Overwatch stream why the fuck not??? twitch.tv/demisree. . (I apologize in advance for being v aggro today lmfao). . RT and host me if you love me.,anger
9465,Overwatch,Neutral,Sony Sure I'll do an Overwatch stream why the fuck not??? twitch.tv/demisree. . (I apologize in advance for being v aggro today lmfao). . RT and host me if you love me.,anger
9465,Overwatch,Neutral,have,neutral
9466,Overwatch,Positive,I REALLY WANNA FUCKING PLAY OVERWATCH RN. BROOOOO,anger
9466,Overwatch,Positive,I really want to fuck PLAY OVERWATCH RN. BROOOOO,anger
9466,Overwatch,Positive,I REALLY HAVE THE OVERWATCH RN GAME. SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEA SEE E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E,neutral
9466,Overwatch,Positive,I REALLY WANNA FUCKING LIVE OVERWATCH RN. BROOOOO,anger
9466,Overwatch,Positive,And I ME REALLY IT WANNA YOU FUCKING OF PLAY OVERWATCH RN. IT BROOOOO,anger
9466,Overwatch,Positive,I AM WANNA FUCKING PLAY OVERWATCH RN. It,anger
9467,Overwatch,Negative,I’ll never understand how people enjoy overwatch,surprise
9467,Overwatch,Negative,I will never understand how people enjoy being monitored,surprise
9467,Overwatch,Negative,I'll never understand how people enjoy listening,surprise
9467,Overwatch,Negative,I’ll certainly understand how people enjoy overwatch,neutral
9467,Overwatch,Negative,I ’ ll never understand how small people might enjoy overwatch,surprise
9467,Overwatch,Negative,I’ll never understand how people usually overwatch,surprise
9469,Overwatch,Positive,"i think sigma's character is one of the best in overwatch, i love playing him and sure hope we get some interactions in-game or more story about him. he's fun to play and i just adore his character but he's a mix of everything ow players hate; shield, cc, matrix. .",joy
9469,Overwatch,Positive,"i think sigma's character is one of the best in overwatch, i love to play him and sure hope we get some interactions in the game or more stories about him. he's fun to play and i just admire his character but he's a mix of everything the players hate; shield, cc, matrix.",joy
9469,Overwatch,Positive,"i think sigma's character is one of the best in overwatch, i love playing him and sure hope we get some interactions in-game or more story about him. he's fun to play and i just adore his character but he's a mix of everything ow players hate; shield, cc, matrix..",joy
9469,Overwatch,Positive,"i think sigma's character is one of the best with overwatch, i love playing him and actually hope we get some interactions in-game or more story for her. is fun to play and i just adore his character but he's a mix of what ow players hate; shield, cc, matrix..",joy
9469,Overwatch,Positive,"i think sigma's character i is one of hopefully the best heroes in overwatch, i love not playing him and sure hope we get around some interactions in - game or more story about him. still he're s fun to play around and i just adore his character but he's a mix most of everything ow players hate ; shield, cc, and matrix..",joy
9469,Overwatch,Positive,"i see sigma's kind that one of the best in Marvel, i love the him and sure now we get some interactions in-game with more story about him. he's fun to play and i just adore his character but that's a mix just everything ow players hate; him, cc, matrix..",joy
9472,Overwatch,Neutral,my mercy @AmbarKOrtiz was SO mad at me for making her pocket a bastion LOL--pixel spray AND cute spray .,anger
9472,Overwatch,Neutral,My goodness @ AmbarKOrtiz was SO mad at me for turning her bag into a bastion of LOL- AND sweet spray.,surprise
9472,Overwatch,Neutral,My mercy @ AmbarKOrtiz was SO mad at me for making out of her pocket a bastion of LOL - spray and cute spray.,anger
9472,Overwatch,Neutral,my mercy @AmbarKOrtiz was REALLY mad at me for making her pocket a bubble LOL--pixel spray AND cute spray.,anger
9472,Overwatch,Neutral,For my mercy @AmbarKOrtiz was SO still mad at hugging me for making her pocket brain a bastion du LOL - - pixel spray pepper AND cute spray.,anger
9472,Overwatch,Neutral,my mercy @AmbarKOrtiz was SO mad at me for making myself choose a ribbon LOL--pixel spray pretty cute spray.,anger
9473,Overwatch,Positive,Youre doing gods work .,neutral
9473,Overwatch,Positive,You're doing godwork.,disgust
9473,Overwatch,Positive,Youre doing gods work.,neutral
9473,Overwatch,Positive,Youre doing the work.,neutral
9473,Overwatch,Positive,and Youre doing gods work.,neutral
9473,Overwatch,Positive,Youre doing gods though.,neutral
9474,Overwatch,Negative,"It's disappointing how Overwatch doesn't do any OWL-themed events in-game, like an arcade mode where you fight other teams' fans for points and team skins are always on",surprise
9474,Overwatch,Negative,"It's disappointing how Overwatch doesn't have in-game OWL-themed events, such as an arcade mode where you compete against other teams ""fans for points and team skins are always with you.",surprise
9474,Overwatch,Negative,"It's a shame that Overwatch doesn't do any OWL-related events in the game, for example, in ""arcade mode,"" where you compete with fans of other teams for points, and the team skins are always on",neutral
9474,Overwatch,Negative,"It's disappointing how Overwatch doesn't do any OWL-themed races in-game, like an expansion mode where you fight other teams' fans for points since team skins are always on",surprise
9474,Overwatch,Negative,"It'll s also disappointing how Well Overwatch doesn't even do almost any OWL - themed events in - between game, like an arcade mode where you fight other teams'fans for experience points and team skins and are always on",surprise
9474,Overwatch,Negative,"It's weird how Overwatch doesn't enable anymore OWL-themed events in-game, purely an offline mode where you fight other teams' fans for points and team skins being always on",disgust
9475,Overwatch,Negative,killing myself and its @PlayOverwatch ‘s fault. Fuck you,anger
9475,Overwatch,Negative,I've killed myself and @ PlayOverwatch. ',fear
9475,Overwatch,Negative,Killing yourself and your @ PlayOverwatch's fault. Fuck you.,anger
9475,Overwatch,Negative,killing ISIS and its @PlayOverwatch ‘s fault. Fuck you,anger
9475,Overwatch,Negative,killing myself and its @PlayOverwatch ‘ s fault. I Fuck for you,anger
9475,Overwatch,Negative,it myself and its @PlayOverwatch my fault. Fuck you,anger
9476,Overwatch,Negative,So why did @PlayOverwatch make the season 23 placement cap 3900sr? Kinda shot for all the gm and Top 500 players rip @harbleuOW,surprise
9476,Overwatch,Negative,So why did @ PlayOverwatch set the season 23 placement cap at 3900sr?,surprise
9476,Overwatch,Negative,"So why did @ PlayOverwatch make season 23 ""Cement Cap 3900sr""?",surprise
9476,Overwatch,Negative,So why did he make the Round 23 placement cap 3900sr? Kinda shot for years the gm and Top 500 players rip @PlayOverwatch,surprise
9476,Overwatch,Negative,So why did @PlayOverwatch first make the final season 23 placement cap 3900sr? Kinda a shot high for all the gm and the Top 500 players could rip @harbleuOW,surprise
9476,Overwatch,Negative,So why did @PlayOverwatch make the grade 23 placement on 3900sr? Kinda like for all the gm and every 500<unk> rip @harbleuOW,surprise
9478,Overwatch,Negative,So is overwatch lagging a lot more for anyone else after the LNY patch? I logged in for the first time in a while and now it's stuttering almost every match,neutral
9478,Overwatch,Negative,So Overwatch lags a lot more after the LNY patch? I logged in for the first time in a while and now it stutters almost every game,neutral
9478,Overwatch,Negative,"So will overtime be much more interesting for someone else after the LNY patch? I went in for the first time in a while, and now it's stalled in almost every game.",neutral
9478,Overwatch,Negative,So is patience lagging a lot more for anybody else after the LNY patch? I logged in for the first time in a while and now have stuttering almost every match,neutral
9478,Overwatch,Negative,So is overwatch still lagging a lot for more for anyone else else leaving after the old LNY patch? I logged right in for the first time in maybe a while now and now it's stuttering almost every match,neutral
9478,Overwatch,Negative,So is overwatch over a lot more than anyone else after the recent patch? I logged in since the first time in a while and now it's over almost every match,neutral
9479,Overwatch,Neutral,Check out this epic build made by @DesignsByIFR. You will need a lot of space for this. Who's your favorite hero in Overwatch?? 🤠  . .  .  .  .  .,fear
9479,Overwatch,Neutral,Check out this epic building by @ DesignsByIFR. It takes a lot of space. Who is your favorite hero in Overwatch???...,neutral
9479,Overwatch,Neutral,Watch this epic build made by @ DesignsByI. You will need a lot of space to do this. Who is your favorite character in Overwatch???........,neutral
9479,Overwatch,Neutral,Check out this epic build made from @DesignsByIFR. You should have a lot of space for this. Who's your best hero in Overwatch?? 🤠 .. . . . .,neutral
9479,Overwatch,Neutral,Check ed out this epic new build made by @DesignsByIFR. com You will still need a lot of space for doing this. com Who's not your favorite young hero in Overwatch?? [UNK]......,neutral
9479,Overwatch,Neutral,Check buy it epic build made by Michael. You will need that lot you gear for this. Who's your favorite character in Overwatch?? <unk>......,neutral
9481,Overwatch,Negative,My goodness @PlayOverwatch your matchmaking in competitive is as shitty as Trumps dick because he's fucking the USA in the ass.,anger
9481,Overwatch,Negative,My goodness @ PlayOverwatch Your competition mate is as crappy as Trump's cock because he fucks the US ass.,anger
9481,Overwatch,Negative,My good name is @ PlayOverwatch your match in the competition is as shit as because he fucks the US in the ass.,anger
9481,Overwatch,Negative,My goodness @PlayOverwatch your friend in competitive is as shitty as this dick because he's fucking the USA in the ass.,anger
9481,Overwatch,Negative,My dear goodness you @PlayOverwatch your matchmaking in competitive is as shitty even as Trumps dick parts because he's probably fucking the entire USA in the ass.,anger
9481,Overwatch,Negative,My goodness @PlayOverwatch your matchmaking in America is as stink as shit dick because he's fucking the USA in the the.,anger
9483,Overwatch,Positive,"Few short clips from our Overwatch Console Division match last night against Greenville/Carson.. We ended up losing,  but still a great time had by all!!. GG https://t.co/I26RZgme8f",joy
9483,Overwatch,Positive,"A few short clips from our Overwatch Console Division game last night against Greenville / Carson.. We lost in the end, but still everyone had a great time!!. GG https: / / t.co / I26RZgme8f",joy
9483,Overwatch,Positive,"Few short clips from our Overwatch Console Division match last night against Greenville / Carson.. We end up to lose, but still a great time had by all!!. GG https: / / Fesco / I26RZgme8f",sadness
9483,Overwatch,Positive,"Few short clips from our Overwatch Console qualifier match last night against Greenville/Carson.. We ended kinda losing,  but still a great time had you all!!. GG https://t.co/I26RZgme8f]",joy
9483,Overwatch,Positive,"Few short screen clips from our second Overwatch and Console Division match last night back against Greenville / Carson.. We ended up losing,... but still knowing a great quality time had come by all!!. GG https://t.co/I26RZgme8f ]",surprise
9483,Overwatch,Positive,"of short clips from our Football Console Division final last night against Greenville/Carson.. We ended up losing, but such a great time had We both. GG https://t.co/I26RZgme8f]",surprise
9484,Overwatch,Neutral,Lets see how bad I am after not playing Overwatch for months..... . twitch.tv/ziggy_ch https://t.co/y8PpsX6INv,sadness
9484,Overwatch,Neutral,Let's see how bad I am after not playing Overwatch for months.... twitch.tv / ziggy _ ch https: / / t.co / y8PpsX6INv,sadness
9484,Overwatch,Neutral,Lets see how bad I am after not playing Overwatch for months......,sadness
9484,Overwatch,Neutral,Lets see how bad I am after not playing Overwatch for months..... . twitch.tv/ziggy_ch RhttpR],sadness
9484,Overwatch,Neutral,On Lets see how bad I am after not playing Overwatch for months..... . twitch.tv/ziggy_ch RhttpR],sadness
9485,Overwatch,Positive,"on as much guff as I give you from, I enjoy this game to a fault. Oh the unique and unusual skins people crank out... I mean, how else will everyone think they're being graced by the absolute love of our Junkrat race if I'm not rocking this?.",joy
9487,Overwatch,Negative,"Amazing how much Black Ops has content and changes wise and how much information we’re getting, while Overwatch 2 only have us 1 cinematic...",surprise
9487,Overwatch,Negative,"Amazing how much content Black Ops has and changes wisely and how much information we get, while Overwatch 2 has only 1 movie available to us...",surprise
9487,Overwatch,Negative,"It's amazing how much content and changes we get in Black Ops, and how much information we get, whereas in Overwatch 2 we only have 1 cinematic...",surprise
9487,Overwatch,Negative,"Amazing how much Black Ops has content and changes wise and that much information are getting, while Overwatch 2 only have us 1 cinematic...",surprise
9487,Overwatch,Negative,"In Amazing things how much Black Dragon Ops has allowed content and technological changes wise and how much information we ’ re getting, all while Overwatch 2 only have us 1 cinematic...",surprise
9487,Overwatch,Negative,"Amazing because much Eye Ops has content and changes wise and how much information its getting, while Overwatch 2 can have us 1 cinematic...",surprise
9488,Overwatch,Positive,"So yesterday, I decided to go back to Overwatch... and I forgot just how much I loved playing it. Now all I want to do is play it and do nothing else >.< I mean, the event is on atm.. gotta get me that Pharah skin as I have Anas already! .",sadness
9488,Overwatch,Positive,"So yesterday I decided to go back to Overwatch... and forgot how much I loved playing it. Now I just want to play it and do nothing else >. < I mean, the event is at the ATM.. I have to get this pharaoh skin like I already have Anas!.",neutral
9488,Overwatch,Positive,"So yesterday I decided to go back to Overwatch... and forgot how much I loved playing it. Now all I want to do is play it and do nothing else. """,sadness
9488,Overwatch,Positive,"So yesterday, I decided to go back to Overwatch... and I forgot the very much I loved taking it. Now all I want to do a play it and do nothing but >.< I mean, the event is on atm.. gotta get me that Pharah skin as I have Anas right!.",surprise
9488,Overwatch,Positive,"So early yesterday, I decided to go back again to Overwatch... and I forgot just how much I loved playing it.... Now suddenly all I want to do is te play it and the don'thing else >. < i I mean, the event is on the atm.. gotta get me that goddamn Pharah skin as I must have Anas already!.",surprise
9488,Overwatch,Positive,"So that, I decided to go back to 7... and I forgot just how much I fell playing it. Now all I want to did not forget anymore and do everything else >.< I mean, the event is on atm.. gotta get me that Pharah skin made me have Anas already!.",neutral
9490,Overwatch,Negative,It is not the first time that the EU Commission has taken such a step.,neutral
9490,Overwatch,Negative,"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.",neutral
9492,Overwatch,Positive,"Best overwatch in the game.  btw listen at the end .  ""rev me rev me rev me rev me"" pic.twitter.com/wapD8syO8R",joy
9492,Overwatch,Positive,"Best overwatch in the game. btw hear at the end. ""rev me rev me rev me rev me rev me"" pic.twitter.com / wapD8syO8R",neutral
9492,Overwatch,Positive,"Best overwatch in the game. btw listen at the end. ""rev me rev me rev me rev me rev me rev me"" pic.watch / wapD8syO8R",neutral
9492,Overwatch,Positive,"Best overwatch in the game.  btw listen at the end .  ""rev me rev me rev me rev me"" pic.twitter.com/wapD8syO8R",joy
9492,Overwatch,Positive,"N Best overwatch in the game.  btw listen at the end .  ""rev me rev me rev me rev me"" pic.twitter.com/wapD8syO8R",surprise
9493,Overwatch,Positive,I’ve gotten back into my obsession with overwatch and I missed A LOT ;-; I just really want the Halloween echo skin,sadness
9493,Overwatch,Positive,I fell back into my obsession with Overwatch and missed a lot; -; I just want the echo skin of Halloween,neutral
9493,Overwatch,Positive,I've gotten back into my obsession with overwatch and I missed A LOT; -; I just really want the Halloween echo skin,sadness
9493,Overwatch,Positive,I’ve gotten back into my obsession with overwatch if I missed A 17 ;-; I just really want the Halloween echo skin,neutral
9493,Overwatch,Positive,I must ’ ve gotten back settled into my obsession ending with overwatch and I missed A little LOT ; - ; I just really want the best Halloween echo skin,sadness
9493,Overwatch,Positive,I’ve gotten back into your other love overwatch and I missed A LOT ;-; I just really want actual Halloween echo skin,sadness
9495,Overwatch,Negative,now i'm just offended,anger
9495,Overwatch,Negative,m just offended,anger
9495,Overwatch,Negative,I'm just in shock right now,surprise
9495,Overwatch,Negative,now i'm very offended,anger
9495,Overwatch,Negative,now i'd m just offended,anger
9495,Overwatch,Negative,now i'm just a,neutral
9496,Overwatch,Positive,Don’t tweet much but here’s what I’ve been up to on the island. Not playing much,neutral
9496,Overwatch,Positive,"Don't tweet much, but here's what I've done so far on the island.",neutral
9496,Overwatch,Positive,"Not many tweets, but that's what I wrote on the island.",neutral
9496,Overwatch,Positive,Don’t tweet much but check what I’ve be up to on the island. Not playing much,neutral
9496,Overwatch,Positive,Don ’ would t tweet much but here ’ s what I too ’ ve been up down to on the next island. Not playing much,sadness
9496,Overwatch,Positive,Don’t tweet much but also what I’ve been trying to with the island. Not playing much,neutral
9497,Overwatch,Positive,So how does everyone feel about,neutral
9497,Overwatch,Positive,How is everyone feeling now?,neutral
9497,Overwatch,Positive,So how does everyone feel about it?,neutral
9497,Overwatch,Positive,So how does everyone feel about,neutral
9497,Overwatch,Positive,So how does not everyone feel about,sadness
9497,Overwatch,Positive,So how does everyone feel regarding,neutral
9499,Overwatch,Negative,NOT ME UPDATING OVERWATCH...,neutral
9499,Overwatch,Negative,DO NOT WATCH ME UPDATING...,neutral
9499,Overwatch,Negative,Notice how I update the data...,neutral
9499,Overwatch,Negative,NOT ME<unk> OVERWATCH...,neutral
9499,Overwatch,Negative,AND NOT ON ME OF UPDATING OVERWATCH...,neutral
9499,Overwatch,Negative,FOR ME UPDATING OVERWATCH...,neutral
9500,Overwatch,Neutral,Ranked Climb,neutral
9500,Overwatch,Neutral,Ranking rise,neutral
9500,Overwatch,Neutral,"Rating Agency ""Client""",neutral
9500,Overwatch,Neutral,Ranked Stock,neutral
9500,Overwatch,Neutral,Highest Ranked Climb,neutral
9500,Overwatch,Neutral,Ranked Climb,neutral
9502,Overwatch,Positive,I started playing OverWatch again after a year break.. I'm still pretty damn good.,joy
9502,Overwatch,Positive,I started playing OverWatch again after a year off. I'm still pretty damn good.,joy
9502,Overwatch,Positive,I'm back playing OverWatch after a year off.. I'm still pretty damn good.,joy
9502,Overwatch,Positive,I started playing OverWatch again after a year break.. I'm still so damn good.,joy
9502,Overwatch,Positive,I started by playing OverWatch again after about a 2 year break.. I'S m still pretty damn good.,surprise
9502,Overwatch,Positive,I think playing OverWatch again for a blogger break.. I'm still pretty damn good.,joy
9503,Overwatch,Negative,losing every round on overwatch I HATE IT HERE pic.twitter.com/ZZgi8XvK7t,anger
9503,Overwatch,Negative,I hate losing every round HERE pic.twitter.com / ZZgi8XvK7t,sadness
9503,Overwatch,Negative,"losing every round in overtime, I WEEK IT E pic.wikipedia.org / ZZgi8XvK7t",neutral
9503,Overwatch,Negative,losing every round on overwatch I HATE IT HERE pic.twitter.com/ZZgi8XvK7t,anger
9503,Overwatch,Negative,The losing every round on overwatch I HATE IT HERE pic.twitter.com/ZZgi8XvK7t,anger
9505,Overwatch,Positive,Well overwatch just got lit,neutral
9505,Overwatch,Positive,Now the supervision has just been set alight,neutral
9505,Overwatch,Positive,"Well, overtime has just been lit",neutral
9505,Overwatch,Positive,Well dinner just got lit,neutral
9505,Overwatch,Positive,Well overwatch It got lit,neutral
9507,Overwatch,Positive,one more coffee then we are gonna get the weekly rewards on Overwatch! And good morning to you all! Its bloody raining and i love it!,joy
9507,Overwatch,Positive,"one more coffee, then we get the weekly rewards on Overwatch! And good morning to all of you! It's raining bloody hard and I love it!",joy
9507,Overwatch,Positive,"another coffee, then we're going to get a weekly award on Overwatch! And good morning to all of you! Its bloody raids and I love it!",joy
9507,Overwatch,Positive,one last coffee then we are gonna get the weekly rewards on Overwatch! And good morning to you all! Its bloody raining and i know it!,joy
9507,Overwatch,Positive,one more coffee and then we are gonna get the latest weekly money rewards on Overwatch! And good morning to you all! And Its bloody raining and i absolutely love fucking it!,joy
9507,Overwatch,Positive,one more coffee then we are gonna get the weekly rewards from Overwatch! And good morning by you all! Its bloody Monday and i deserve it!,anger
9508,Overwatch,Negative,All the new overwatch skins are so ugly RIP,disgust
9508,Overwatch,Negative,All the new Overwatch skins are so ugly RIP,disgust
9508,Overwatch,Negative,All the new wristwatch skins are so ugly RIP,disgust
9508,Overwatch,Negative,All the cheap overwatch skins are so ugly RIP,disgust
9508,Overwatch,Negative,All the new overwatch skins today are often so ugly RIP,disgust
9508,Overwatch,Negative,All the old overwatch skins are so ugly RIP,disgust
9509,Overwatch,Negative,Overwatch has wrecked me,sadness
9509,Overwatch,Negative,Overwatch has ruined me,sadness
9509,Overwatch,Negative,Overtime has mowed me down,anger
9509,Overwatch,Negative,Overwatch totally wrecked me,surprise
9509,Overwatch,Negative,Overwatch that has wrecked me,sadness
9509,Overwatch,Negative,Overwatch is wrecked me,sadness
9513,Overwatch,Neutral,COMP WRECKING BALL POTG,neutral
9513,Overwatch,Neutral,COMP WRECKING BALL POTG,neutral
9513,Overwatch,Neutral,COMPUTER PUTING BALL,anger
9513,Overwatch,Neutral,COMP WRECKING UP POTG,neutral
9513,Overwatch,Neutral,I COMP WRECKING BALL IN POTG,anger
9513,Overwatch,Neutral,COMP<unk> BALL POTG,neutral
9514,Overwatch,Negative,OH. Always hated playing tracer when I'm on damage.,disgust
9514,Overwatch,Negative,OH. I always hated to play trackers when I'm on damage.,disgust
9514,Overwatch,Negative,OH. Always hatted playing tracer when I'm on damage.,neutral
9514,Overwatch,Negative,OH. Always hated playing tracer when not on damage.,disgust
9514,Overwatch,Negative,OH. Always hated herself playing tracer when seeing I'm on damage.,disgust
9514,Overwatch,Negative,OH. Always hated playing tracer when L'm on the.,disgust
9515,Overwatch,Neutral,The latest The Overwatch (video game) Daily! paper.li/MnstrHigh_MOM/… Thanks to @dmn_esports @TGoldstein9 @HotspawnEsports,joy
